#{'API version': '0.1.2', 'Channels': [1, 2, 3, 4, 5, 6], 'Channels indexes mV': [6, 8, 10, 12, 14, 16], 'Channels indexes raw': [5, 7, 9, 11, 13, 15], 'Channels labels': ['AI1_raw', 'AI1_mv', 'AI2_raw', 'AI2_mv', 'AI3_raw', 'AI3_mv', 'AI4_raw', 'AI4_mv', 'AI5_raw', 'AI5_mv', 'AI6_raw', 'AI6_mv'], 'Device': 'COM14', 'Firmware version': '1.0', 'Header': ['NSeq', 'I1', 'I2', 'O1', 'O2', 'AI1_raw', 'AI1_mv', 'AI2_raw', 'AI2_mv', 'AI3_raw', 'AI3_mv', 'AI4_raw', 'AI4_mv', 'AI5_raw', 'AI5_mv', 'AI6_raw', 'AI6_mv'], 'ISO 8601': '2022-05-11T16:10:57.031185', 'Resolution (bits)': [4, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12], 'Sampling rate (Hz)': 1000, 'Timestamp': 1652281857.031185}
#NSeq	I1	I2	O1	O2	AI1_raw	AI1_mv	AI2_raw	AI2_mv	AI3_raw	AI3_mv	AI4_raw	AI4_mv	AI5_raw	AI5_mv	AI6_raw	AI6_mv
8	0	0	0	0	1493	1471	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1490	1468	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1490	1468	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1489	1468	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1487	1468	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1479	1461	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1477	1458	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	1472	1454	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1469	1451	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1463	1447	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1459	1444	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1456	1441	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1455	1441	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1454	1441	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1451	1437	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1452	1437	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	1455	1441	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1456	1441	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1459	1444	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1460	1444	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1463	1447	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1469	1451	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1469	1451	0	254	0	254	0	254	0	254	0	254
